F0-Autocorrelação;F0-FFT;F1-FFT;F2-FFT;F3-FFT;F4-FFT;E0-FFT;E1-FFT;E2-FFT;E3-FFT;E4-FFT
147,23926;145;292;579;641;744;224,62876;177,17015;103,48432;34,655458;33,979483
144,68726;144;278;581;717;870;314,3012;128,84072;70,362376;27,400642;27,074808
172,19731;173;346;401;498;724;563,05837;213,68366;90,163021;77,805765;58,418565
41,657626;174;327;492;606;704;163,39113;116,13132;62,093943;30,767351;21,351982
156,86275;174;310;437;517;616;228,65;77,528019;39,436335;26,192706;21,52844
165,37468;327;491;655;714;827;216,16471;71,867195;34,760729;31,561119;21,119122
30,539208;182;243;348;524;713;172,0283;37,789776;29,888078;26,309809;13,010602
175,98533;356;511;700;901;962;213,96725;43,114171;38,025034;27,946721;12,298706
170,5151;169;338;496;666;820;204,86444;146,61837;44,590441;33,538068;32,132734
153,84615;152;309;452;605;655;333,90192;151,91595;48,032327;37,910073;24,299158
171,27565;181;346;517;881;932;176,99699;109,16467;30,681018;14,526516;11,573219
155,33981;156;301;467;576;677;199,2319;56,044559;36,439389;28,01694;25,269405
163,12659;320;474;646;799;1126;216,33168;100,88755;43,418694;43,115361;17,611949
183,90805;180;371;582;718;887;129,11357;126,86103;49,998814;28,725742;18,582315
164,94845;147;342;510;651;708;96,397336;64,1086;20,751469;18,859712;8,2469814
185,14947;188;366;544;718;904;224,43693;116,98184;40,152086;24,208723;11,941886
156,60685;160;301;454;584;794;392,13866;94,968689;72,995584;26,551718;19,261291
83,116883;334;507;672;829;949;338,10211;70,285671;50,887301;32,286437;25,648069
157,11948;313;495;627;778;947;301,56611;43,870821;31,791752;22,7037;20,133391
81,632653;158;323;490;650;806;266,05689;171,56196;108,14965;98,960297;57,095964
175,50274;351;534;700;1045;1235;279,14437;56,44113;52,526012;31,038619;13,074495
152,50199;157;313;374;481;656;456,31707;289,1267;122,19894;120,8932;43,095106
174,38692;175;356;696;849;1022;397,95179;210,16296;91,944681;28,028895;27,512824
165,94641;166;334;516;656;841;495,67136;135,24575;72,285162;31,849036;19,968083
160,13344;314;505;555;683;748;177,97691;37,458244;26,016961;16,838548;15,970712
163,26531;325;375;426;535;648;324,0905;63,972866;61,235658;61,056532;52,652244
209,60699;182;232;427;707;858;123,57062;70,013476;28,283918;22,549747;12,477686
146,67685;147;298;587;726;892;250,03958;192,08851;77,986351;30,3863;28,98247
170,97061;348;682;867;1198;36228;244,10196;53,054276;18,186815;14,120327;8,7640818
161,07383;154;324;644;989;1120;236,12057;212,23418;105,28915;29,065756;15,872782
161,34454;155;328;477;653;719;294,7224;231,92823;83,905061;70,693355;45,880735
87,511395;178;292;353;439;703;217,6979;84,235458;84,129949;74,313793;44,448649
155,84416;147;325;619;751;932;117,75573;69,707988;37,993763;30,857218;17,917925
161,48024;159;320;371;493;628;187,28461;160,99734;61,022766;43,909389;40,313264
146,45309;148;299;577;711;769;412,65226;109,66974;89,857219;35,772965;20,318982
173,91304;176;345;685;847;985;176,40886;96,876331;29,719399;8,5591643;8,1434598
173,12894;345;540;681;856;977;306,36823;60,661529;54,467882;35,250733;21,419748
